OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Shape_Leng,Shape_Area,Name,Gazette_Ty,Gazette_No,LGA,LCDA,Size,Date_1,Hyperlink,Shape_Le_1,Gazette__1
1,LWPolyline,Village Excision,4,Continuous,0.0,25,,1499.87815406,139983.365662,AGONRIN Village,Excision,"Gaz No.11, Vol.30",Badagry,Badagry West,0.0,1997/03/01,,0.0,
2,LWPolyline,ethanol project,1,Continuous,0.0,70,,1570.79325653,153604.037085,PROPOSED LAWMA SITE,Allocation,,Badagry,Badagry West,0.0,1997/03/01,,0.0,
3,LWPolyline,GATE,4,Continuous,0.0,25,,3428.4225033,525908.294582,APA Village,Excision,"Gaz No.38,Vol.27",Badagry,Badagry West,0.0,1994/10/27,,0.0,
4,LWPolyline,GATE,4,Continuous,0.0,25,,1478.25252874,56101.6280637,APA Village,Excision,"Gaz No.38,Vol.27",Badagry,Badagry West,0.0,1994/10/27,,0.0,
5,LWPolyline,GARMIN,2,Continuous,0.0,25,,5632.69023858,1869676.00548,The Bells University of  Technology,Allocation,"PLAN NO  LS/D BG 489A
PLAN NO. LS/D BG 489A",Badagry,Badagry West,0.0,1994/10/27,,0.0,
6,LWPolyline,GARMIN,2,Continuous,0.0,25,,3747.79246881,529243.400448,The Bells University of  Technology,Allocation,"
PLAN NO  LS/D BG 489A",Badagry,Badagry West,0.0,1994/10/27,,0.0,
7,LWPolyline,GARMIN,2,Continuous,0.0,25,,1478.54662103,131638.631699,The Bells University of  Technology,Allocation,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
9,LWPolyline,GATE,3,Continuous,0.0,25,,5862.50039584,2032554.07758,,,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
10,LWPolyline,ethanol project,1,Continuous,0.0,53,,2260.25194987,309228.127813,,,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
11,LWPolyline,ethanol project,1,Continuous,0.0,53,,2260.25193277,309228.124173,LASG Acquisition (Parcel A),Acquisition,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
12,LWPolyline,GATE,1,Continuous,0.0,25,,10150.2974616,5021648.50869,Government Land Allocation Badagry Shitto,Allocation,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
13,LWPolyline,Layer3,1,Continuous,0.0,25,,9811.42864626,5338883.48462,,,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
14,LWPolyline,Layer1,1,Continuous,0.0,25,,9574.18022206,4009344.70661,Ganyigbo Mixed Development Scheme (Parcel B),Scheme,,Badagry,Badagry West,0.0,1994/10/27,,0.0,
